# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
Indexing.cache.totalCacheAccesses,1772701658591000000,1772701718628000000,184667
Indexing.writesQueuedMin,1772701658591000000,1772701718628000000,0
Indexing.writesQueuedAvg,1772701658591000000,1772701718628000000,6.978947368421053
NonBlockingReadAction.failedExecutionsCount,1772701658591000000,1772701718628000000,0
FlushQueue.queueSize90P,1772701658591000000,1772701718628000000,188
WriteAction.executionsCount,1772701658591000000,1772701718628000000,16
ReadAction.executionsCount,1772701658591000000,1772701718628000000,1938
NonBlockingReadAction.finalizedExecutionTimeUs,1772701658591000000,1772701718628000000,4180983
FlushQueue.queueSizeAvg,1772701658591000000,1772701718628000000,57.50402144772118
FlushQueue.waitingTimeMaxNs,1772701658591000000,1772701718628000000,12482248703
AWTEventQueue.dispatchTimeMaxNs,1772701658591000000,1772701718628000000,2281701375
FlushQueue.waitingTime90PNs,1772701658591000000,1772701718628000000,1010827263
AWTEventQueue.dispatchTime90PNs,1772701658591000000,1772701718628000000,23330815
NonBlockingReadAction.failedExecutionTimeUs,1772701658591000000,1772701718628000000,0
AWTEventQueue.eventsDispatched,1772701658591000000,1772701718628000000,1346
FlushQueue.executionTime90PNs,1772701658591000000,1772701718628000000,610303
FlushQueue.executionTimeAvgNs,1772701658591000000,1772701718628000000,1.6296339338695263E7
FlushQueue.queueSizeMax,1772701658591000000,1772701718628000000,220
NonBlockingReadAction.finalizedExecutionsCount,1772701658591000000,1772701718628000000,1
FlushQueue.executionTimeMaxNs,1772701658591000000,1772701718628000000,7113539583
AWTEventQueue.dispatchTimeTotalNS,1772701658591000000,1772701718628000000,28302659156
FlushQueue.waitingTimeAvgNs,1772701658591000000,1772701718628000000,4.465490203681859E8
FlushQueue.tasksExecuted,1772701658591000000,1772701718628000000,1119
AWTEventQueue.dispatchTimeAvgNs,1772701658591000000,1772701718628000000,2.1024730484398216E7
FileNameCache.totalMisses,1772701718628000000,1772701778639000000,0
VFS.contentStorage.recordsReadDecompressed,1772701718628000000,1772701778639000000,0
VFS.invertedFileNameIndex.requests,1772701718628000000,1772701778639000000,6
VFS.fileByIdCache.misses,1772701718628000000,1772701778639000000,0
VFS.fileByIdCache.hits,1772701718628000000,1772701778639000000,0
VFS.cache.filesCreated,1772701718628000000,1772701778639000000,6
VFS.rootsCount,1772701718628000000,1772701778639000000,5.0
VFS.cache.directoriesCreated,1772701718628000000,1772701778639000000,0
VFS.contentStorage.recordsStoredSize,1772701718628000000,1772701778639000000,0
VFS.contentStorage.recordsStored,1772701718628000000,1772701778639000000,0
VFS.cache.segments,1772701718628000000,1772701778639000000,1.0
VFS.folderCaseSensitivityReads,1772701718628000000,1772701778639000000,0
VFS.contentStorage.recordsRead,1772701718628000000,1772701778639000000,0
VFS.contentStorage.recordsReadSize,1772701718628000000,1772701778639000000,0
VFS.contentStorage.recordsUncompressedSize,1772701718628000000,1772701778639000000,0
FileNameCache.queries,1772701718628000000,1772701778639000000,0
VFS.contentStorage.recordsDecompressionTimeUs,1772701718628000000,1772701778639000000,0
VFS.contentStorage.recordsStoredCompressed,1772701718628000000,1772701778639000000,0
VFS.contentStorage.recordsDeduplicated,1772701718628000000,1772701778639000000,0
VFS.cache.segmentsCreated,1772701718628000000,1772701778639000000,0
VFS.fileChildByName,1772701718628000000,1772701778639000000,76
JVM.totalDirectByteBuffersBytes,1772701718628000000,1772701778639000000,64644065
MEM.ramMinusFileMappingsBytes,1772701718628000000,1772701778639000000,1318305792
JVM.totalSafepointCount,1772701718628000000,1772701778639000000,51
JVM.newThreadsCount,1772701718628000000,1772701778639000000,2
JVM.totalTimeAtSafepointsMs,1772701718628000000,1772701778639000000,5909
MEM.ramPlusSwapMinusFileMappingsBytes,1772701718628000000,1772701778639000000,1904088296
MEM.fileMappingsRamBytes,1772701718628000000,1772701778639000000,571490304
JVM.totalCpuTimeMs,1772701718628000000,1772701778639000000,8312
MEM.ramBytes,1772701718628000000,1772701778639000000,1889796096
OS.loadAverage,1772701718628000000,1772701778639000000,577.2685546875
JVM.maxThreadCount,1772701718628000000,1772701778639000000,147
